,filename,name,hash,phash,cropped_filename,fingerprints,labels,cropped_fingerprints,cropped_labels,cluster
fc223db0cdad80cabf215c654a35f7d49ce5f6d7c991357700bd8ea813d6c822,./data/fc223db0cdad80cabf215c654a35f7d49ce5f6d7c991357700bd8ea813d6c822.jpg,fc223db0cdad80cabf215c654a35f7d49ce5f6d7c991357700bd8ea813d6c822,fc223db0cdad80cabf215c654a35f7d49ce5f6d7c991357700bd8ea813d6c822,e00f00fe06e3e0047fde811f94501f3bf0ff,./data/cropped/fc223db0cdad80cabf215c654a35f7d49ce5f6d7c991357700bd8ea813d6c822.jpg,[0.00151573 0.52049834 0.00970769 ... 0.05844356 0.00604121 0.        ],"[['web_site', 0.97875345], ['television', 0.0011000381], ['digital_clock', 0.0009802283], ['stopwatch', 0.00095244305], ['bubble', 0.0008866501]]",[0.00151573 0.52049834 0.00970769 ... 0.05844356 0.00604121 0.        ],"[['web_site', 0.97875345], ['television', 0.0011000381], ['digital_clock', 0.0009802283], ['stopwatch', 0.00095244305], ['bubble', 0.0008866501]]",29
f9bc4a31595dfe45363c66830906a7e50916d82e8cf62612be1cf5640a1bdac7,./data/f9bc4a31595dfe45363c66830906a7e50916d82e8cf62612be1cf5640a1bdac7.jpg,f9bc4a31595dfe45363c66830906a7e50916d82e8cf62612be1cf5640a1bdac7,f9bc4a31595dfe45363c66830906a7e50916d82e8cf62612be1cf5640a1bdac7,9f5be031c2f9f22cdbb4b43e74c42741a454,./data/cropped/f9bc4a31595dfe45363c66830906a7e50916d82e8cf62612be1cf5640a1bdac7.jpg,[0.00936948 2.1711237  0.4625319  ... 0.11776092 0.23863927 0.        ],"[['cliff', 0.17486598], ['brass', 0.15201417], ['castle', 0.046406202], ['dam', 0.032984264], ['leopard', 0.027292626]]",[0.00936948 2.1711237  0.4625319  ... 0.11776092 0.23863927 0.        ],"[['cliff', 0.17486598], ['brass', 0.15201417], ['castle', 0.046406202], ['dam', 0.032984264], ['leopard', 0.027292626]]",7
fca27623b8f68555373b85f99a99f0e00dec6f27814e706e8d7aa0355292fc72,./data/fca27623b8f68555373b85f99a99f0e00dec6f27814e706e8d7aa0355292fc72.jpg,fca27623b8f68555373b85f99a99f0e00dec6f27814e706e8d7aa0355292fc72,fca27623b8f68555373b85f99a99f0e00dec6f27814e706e8d7aa0355292fc72,fb7e12ca519d94cc4883fd255ca225999e66,./data/cropped/fca27623b8f68555373b85f99a99f0e00dec6f27814e706e8d7aa0355292fc72.jpg,[0.31630495 2.6722023  0.11158203 ... 2.1877458  1.0960008  1.6819149 ],"[['saltshaker', 0.39241222], ['sock', 0.21374713], ['Band_Aid', 0.06386549], ['knee_pad', 0.058527574], ['sandal', 0.048708692]]",[0.31630495 2.6722023  0.11158203 ... 2.1877458  1.0960008  1.6819149 ],"[['saltshaker', 0.39241222], ['sock', 0.21374713], ['Band_Aid', 0.06386549], ['knee_pad', 0.058527574], ['sandal', 0.048708692]]",4
fe462743291c02c128c2e712bfa5de746629f4241b32c6d84fa26832e2f89d02,./data/fe462743291c02c128c2e712bfa5de746629f4241b32c6d84fa26832e2f89d02.jpg,fe462743291c02c128c2e712bfa5de746629f4241b32c6d84fa26832e2f89d02,fe462743291c02c128c2e712bfa5de746629f4241b32c6d84fa26832e2f89d02,bd050e466bd9ab04a7e6fd31316375e44cd0,./data/cropped/fe462743291c02c128c2e712bfa5de746629f4241b32c6d84fa26832e2f89d02.jpg,[0.02628888 0.99524504 0.06290808 ... 0.07143933 0.12332868 0.51491994],"[['scoreboard', 0.28099334], ['cowboy_hat', 0.13675924], ['marimba', 0.13144171], ['street_sign', 0.094156], ['steel_drum', 0.06887825]]",[0.02628888 0.99524504 0.06290808 ... 0.07143933 0.12332868 0.51491994],"[['scoreboard', 0.28099334], ['cowboy_hat', 0.13675924], ['marimba', 0.13144171], ['street_sign', 0.094156], ['steel_drum', 0.06887825]]",9
f8cf0327e3dba9f58a49b7a8f32e70e912a96cf90771ff2a3b1fec92ea883841,./data/f8cf0327e3dba9f58a49b7a8f32e70e912a96cf90771ff2a3b1fec92ea883841.jpg,f8cf0327e3dba9f58a49b7a8f32e70e912a96cf90771ff2a3b1fec92ea883841,f8cf0327e3dba9f58a49b7a8f32e70e912a96cf90771ff2a3b1fec92ea883841,8a35037552d4b306ae5f840f27ec2f9b9a1d,./data/cropped/f8cf0327e3dba9f58a49b7a8f32e70e912a96cf90771ff2a3b1fec92ea883841.jpg,[0.36211282 1.6747315  0.01182338 ... 0.1734966  0.03242255 0.77798337],"[['web_site', 0.6034362], ['prison', 0.037043817], ['cash_machine', 0.031559486], ['jean', 0.029767858], ['cellular_telephone', 0.02482122]]",[0.36211282 1.6747315  0.01182338 ... 0.1734966  0.03242255 0.77798337],"[['web_site', 0.6034362], ['prison', 0.037043817], ['cash_machine', 0.031559486], ['jean', 0.029767858], ['cellular_telephone', 0.02482122]]",33
fa7bc277ad6b6ec46690f06c4a211ae0d9dcec70fc6a59ac3abdc70d9556ef54,./data/fa7bc277ad6b6ec46690f06c4a211ae0d9dcec70fc6a59ac3abdc70d9556ef54.jpg,fa7bc277ad6b6ec46690f06c4a211ae0d9dcec70fc6a59ac3abdc70d9556ef54,fa7bc277ad6b6ec46690f06c4a211ae0d9dcec70fc6a59ac3abdc70d9556ef54,d68a9754ddb220dcb75caa152ea53cab1b44,./data/cropped/fa7bc277ad6b6ec46690f06c4a211ae0d9dcec70fc6a59ac3abdc70d9556ef54.jpg,[0.00498141 0.         0.7881867  ... 0.08267009 0.6641855  0.15498818],"[['web_site', 0.88174766], ['jean', 0.016378872], ['hand-held_computer', 0.008826874], ['notebook', 0.006153066], ['lab_coat', 0.0047868676]]",[0.00498141 0.         0.7881867  ... 0.08267009 0.6641855  0.15498818],"[['web_site', 0.88174766], ['jean', 0.016378872], ['hand-held_computer', 0.008826874], ['notebook', 0.006153066], ['lab_coat', 0.0047868676]]",33
f108542ee7323ef3e84e57cca78aa2e840b0dc662dc987c3228f1d39444923a5,./data/f108542ee7323ef3e84e57cca78aa2e840b0dc662dc987c3228f1d39444923a5.jpg,f108542ee7323ef3e84e57cca78aa2e840b0dc662dc987c3228f1d39444923a5,f108542ee7323ef3e84e57cca78aa2e840b0dc662dc987c3228f1d39444923a5,f336668ee38ef08cb1f113cb2ac8141dbcca,./data/cropped/f108542ee7323ef3e84e57cca78aa2e840b0dc662dc987c3228f1d39444923a5.jpg,[0.31752595 0.6174088  0.19006628 ... 1.2166481  0.08530087 0.8547955 ],"[['web_site', 0.55289364], ['jersey', 0.05392331], ['groom', 0.052724183], ['jean', 0.049747046], ['poncho', 0.038378645]]",[0.31752595 0.6174088  0.19006628 ... 1.2166481  0.08530087 0.8547955 ],"[['web_site', 0.55289364], ['jersey', 0.05392331], ['groom', 0.052724183], ['jean', 0.049747046], ['poncho', 0.038378645]]",33
fd5cadf957db102b6dd6e1074b706c2e05ecfb613900a4ee8be75db6df95b6cb,./data/fd5cadf957db102b6dd6e1074b706c2e05ecfb613900a4ee8be75db6df95b6cb.jpg,fd5cadf957db102b6dd6e1074b706c2e05ecfb613900a4ee8be75db6df95b6cb,fd5cadf957db102b6dd6e1074b706c2e05ecfb613900a4ee8be75db6df95b6cb,efe249c821b78512bf9081df9452bfc411b7,./data/cropped/fd5cadf957db102b6dd6e1074b706c2e05ecfb613900a4ee8be75db6df95b6cb.jpg,"[5.3621650e-01 9.8205626e-01 4.1712061e-04 ... 7.5458646e-02 4.1773310e-01
 1.3562082e+00]","[['comic_book', 0.3147535], ['envelope', 0.1133773], ['book_jacket', 0.10756524], ['web_site', 0.086126246], ['binder', 0.071945935]]","[5.3621650e-01 9.8205626e-01 4.1712061e-04 ... 7.5458646e-02 4.1773310e-01
 1.3562082e+00]","[['comic_book', 0.3147535], ['envelope', 0.1133773], ['book_jacket', 0.10756524], ['web_site', 0.086126246], ['binder', 0.071945935]]",45
fd79b3203e0285e4b68f3815c06bd2c6323883ed79d804faae93aa56d32a25df,./data/fd79b3203e0285e4b68f3815c06bd2c6323883ed79d804faae93aa56d32a25df.jpg,fd79b3203e0285e4b68f3815c06bd2c6323883ed79d804faae93aa56d32a25df,fd79b3203e0285e4b68f3815c06bd2c6323883ed79d804faae93aa56d32a25df,feecc6cbb031974039c8d3ccb54318c473cd,./data/cropped/fd79b3203e0285e4b68f3815c06bd2c6323883ed79d804faae93aa56d32a25df.jpg,[0.31379807 0.38401097 0.28179386 ... 0.07720394 0.24407126 0.12501238],"[['web_site', 0.94993883], ['comic_book', 0.0053267735], ['envelope', 0.0047420245], ['jean', 0.0017260005], ['book_jacket', 0.0016755714]]",[0.31379807 0.38401097 0.28179386 ... 0.07720394 0.24407126 0.12501238],"[['web_site', 0.94993883], ['comic_book', 0.0053267735], ['envelope', 0.0047420245], ['jean', 0.0017260005], ['book_jacket', 0.0016755714]]",33
f8fcc5b9f4d026a92a1e017708a0d0d7cd4726959e98f4228db6124c54e5e178,./data/f8fcc5b9f4d026a92a1e017708a0d0d7cd4726959e98f4228db6124c54e5e178.png,f8fcc5b9f4d026a92a1e017708a0d0d7cd4726959e98f4228db6124c54e5e178,f8fcc5b9f4d026a92a1e017708a0d0d7cd4726959e98f4228db6124c54e5e178,bffda182aa567e112b3de78086d87fd0081c,./data/cropped/f8fcc5b9f4d026a92a1e017708a0d0d7cd4726959e98f4228db6124c54e5e178.jpg,[0.22578967 0.09159224 0.05035805 ... 0.11574949 0.01591441 0.5161535 ],"[['web_site', 0.9386083], ['Windsor_tie', 0.005911855], ['barbershop', 0.002229073], ['tennis_ball', 0.001638494], ['academic_gown', 0.0015854234]]",[0.22578967 0.09159224 0.05035805 ... 0.11574949 0.01591441 0.5161535 ],"[['web_site', 0.9386083], ['Windsor_tie', 0.005911855], ['barbershop', 0.002229073], ['tennis_ball', 0.001638494], ['academic_gown', 0.0015854234]]",33
